Desa,Balita,Anak-Anak,Remaja Awal,Remaja Akhir,Dewasa Awal,Dewasa Akhir,Lansia Awal,Lansia Akhir,Manula Atas,Jumlah KK,laki-laki,perempuan
Socah,362,507,1015,511,839,989,931,674,441,1915,3117,3152
Keleyan,577,751,1287,676,1314,1313,1141,986,582,2535,4223,4404
Bilaporah,397,536,1040,561,929,937,930,702,489,1959,3207,3314
Parseh,532,780,1536,787,1502,1306,994,664,522,2421,4310,4313
Jaddih,648,1051,1136,948,1996,1908,1593,1255,952,3539,6054,6351
Buluh,271,372,768,356,669,747,668,523,383,1401,2315,2442
Junganyar,218,299,573,315,561,537,432,285,135,983,1681,1674
Dakiring,201,275,498,239,443,438,386,297,145,826,1449,1473
Petaonan,260,304,548,273,576,641,547,359,255,1063,1817,1946
Pernajuh,91,95,165,98,167,187,135,107,61,337,549,557
Sanggra Agung,338,518,1181,577,1084,1002,731,542,443,1745,3176,3240
